"('bottom', 'end', 'front')"
"('protector', 'cover', 'front')"
"('surface', 'first', 'side')"
"('strap', 'joined', 'first')"
"('portion', 'chest', 'stomach')"
"('use', 'user', 'pouch')"
"('neck', 'user', 'pouch')"
"('side', 'first', 'second')"
"('particulates', 'liquids', 'moving')"
"('tear', 'end', 'produced')"
"('first', 'strap', 'tear')"
"('second', 'end', 'portion')"
"('stomach', 'user', 'neck')"
"('around', 'back', 'neck')"
"('end', 'second', 'end')"
"('removal', 'protector', 'neck')"
"('strap', 'sections', 'first')"
"('end', 'protector', 'cover')"
"('second', 'side', 'protector')"
"('tear', 'end', 'including')"
"('positioned', 'strap', 'tearable')"
"('length', 'strap', 'pouch')"
"('front', 'portion', 'chest')"
"('protector', 'support', 'comprises')"
"('protector', 'support', 'position')"
"('second', 'end', 'supported')"
"('neck', 'user', 'wherein')"
"('includes', 'least', 'one')"
"('position', 'storage', 'second')"
"('protector', 'cover', 'around')"
"('one', 'first', 'closed')"
"('second', 'side', 'first')"
"('section', 'tear', 'end')"
"('strap', 'section', 'first')"
"('perforation', 'torn', 'permits')"
"('position', 'covering', 'front')"
"('joined', 'first', 'side')"
"('joinable', 'form', 'strap')"
"('cover', 'wherein', 'strap')"
"('positioned', 'strap', 'section')"
"('wherein', 'strap', 'includes')"
"('second', 'end', 'protector')"
"('user', 'second', 'end')"
"('protector', 'support', 'adapted')"
"('quick', 'removal', 'protector')"
"('section', 'second', 'strap')"
"('section', 'tearable', 'perforation')"
"('section', 'positioned', 'strap')"
"('tearable', 'perforation', 'adhesive')"
"('liquids', 'moving', 'downwardly')"
"('extend', 'first', 'end')"
"('two', 'strap', 'sections')"
"('end', 'joined', 'second')"
"('supported', 'first', 'end')"
"('sections', 'first', 'strap')"
"('surface', 'protector', 'cover')"
"('second', 'end', 'second')"
"('end', 'joined', 'first')"
"('end', 'including', 'adhesive')"
"('adhesive', 'section', 'positioned')"
"('second', 'strap', 'section')"
"('strap', 'section', 'joinable')"
"('protector', 'use', 'user')"
"('protector', 'cover', 'second')"
"('strip', 'joined', 'second')"
"('stomach', 'user', 'protector')"
"('end', 'front', 'back')"
"('perforation', 'torn', 'first')"
"('first', 'end', 'joined')"
"('tearable', 'perforation', 'least')"
"('strap', 'section', 'tearable')"
"('torn', 'first', 'strap')"
"('strap', 'includes', 'least')"
"('cover', 'pouch', 'top')"
"('support', 'adapted', 'support')"
"('strap', 'tear', 'end')"
"('form', 'strap', 'wherein')"
"('adhesive', 'section', 'second')"
"('tearable', 'perforation', 'torn')"
"('support', 'garment', 'protector')"
"('user', 'wherein', 'protector')"
"('one', 'adhesive', 'section')"
"('produced', 'second', 'strap')"
"('strap', 'tearable', 'perforation')"
"('section', 'first', 'strap')"
"('second', 'end', 'positioned')"
"('chest', 'stomach', 'user')"
"('moving', 'downwardly', 'along')"
"('joined', 'second', 'side')"
"('front', 'surface', 'protector')"
"('first', 'closed', 'position')"
"('end', 'joinable', 'adhesive')"
"('end', 'strap', 'joined')"
"('protector', 'cover', 'pouch')"
"('disposable', 'garment', 'protector')"
"('strap', 'section', 'tear')"
"('downwardly', 'along', 'front')"
"('first', 'end', 'portion')"
"('opened', 'position', 'top')"
"('back', 'neck', 'user')"
"('end', 'produced', 'second')"
"('perforation', 'least', 'one')"
"('user', 'pouch', 'positioned')"
"('end', 'protector', 'support')"
"('cover', 'around', 'back')"
"('support', 'position', 'covering')"
"('surface', 'back', 'surface')"
"('fold', 'one', 'first')"
"('tear', 'end', 'joinable')"
"('end', 'second', 'strap')"
"('positioned', 'extend', 'first')"
"('support', 'comprises', 'two')"
"('garment', 'protector', 'neck')"
"('change', 'length', 'strap')"
"('perforation', 'adhesive', 'section')"
"('side', 'protector', 'cover')"
"('pouch', 'positioned', 'second')"
"('portion', 'second', 'strap')"
"('strap', 'section', 'pouch')"
"('positioned', 'second', 'end')"
"('second', 'end', 'strip')"
"('strap', 'section', 'includes')"
"('portion', 'first', 'strap')"
"('protector', 'cover', 'wherein')"
"('least', 'one', 'adhesive')"
"('adhesive', 'section', 'first')"
"('positioned', 'collect', 'particulates')"
"('end', 'first', 'end')"
"('permits', 'removal', 'protector')"
"('side', 'second', 'side')"
"('collect', 'particulates', 'liquids')"
"('cover', 'disposable', 'garment')"
"('strap', 'pouch', 'positioned')"
"('side', 'first', 'end')"
"('first', 'second', 'end')"
"('closed', 'position', 'storage')"
"('section', 'includes', 'least')"
"('comprises', 'strap', 'first')"
"('torn', 'permits', 'removal')"
"('front', 'surface', 'back')"
"('protector', 'comprising', 'protector')"
"('back', 'surface', 'first')"
"('top', 'end', 'opened')"
"('support', 'comprises', 'strap')"
"('position', 'top', 'end')"
"('wherein', 'strap', 'section')"
"('end', 'portion', 'first')"
"('user', 'protector', 'support')"
"('formed', 'fold', 'one')"
"('top', 'end', 'bottom')"
"('cover', 'front', 'surface')"
"('one', 'tearable', 'perforation')"
"('cover', 'second', 'end')"
"('end', 'portion', 'second')"
"('including', 'adhesive', 'section')"
"('section', 'first', 'end')"
"('neck', 'user', 'second')"
"('comprising', 'protector', 'cover')"
"('joinable', 'adhesive', 'section')"
"('removal', 'protector', 'use')"
"('tear', 'end', 'change')"
"('section', 'pouch', 'positioned')"
"('first', 'end', 'strap')"
"('along', 'front', 'surface')"
"('end', 'strip', 'joined')"
"('strap', 'first', 'end')"
"('first', 'end', 'protector')"
"('front', 'back', 'formed')"
"('end', 'supported', 'first')"
"('end', 'positioned', 'extend')"
"('storage', 'second', 'opened')"
"('end', 'bottom', 'end')"
"('torn', 'permits', 'quick')"
"('end', 'opened', 'positioned')"
"('garment', 'protector', 'comprising')"
"('comprises', 'two', 'strap')"
"('second', 'strap', 'tear')"
"('first', 'end', 'first')"
"('back', 'formed', 'fold')"
"('second', 'opened', 'position')"
"('opened', 'positioned', 'collect')"
"('covering', 'front', 'portion')"
"('end', 'change', 'length')"
"('first', 'end', 'second')"
"('least', 'one', 'tearable')"
"('wherein', 'protector', 'support')"
"('first', 'strap', 'section')"
"('pouch', 'top', 'end')"
"('first', 'side', 'first')"
"('section', 'joinable', 'form')"
"('strap', 'wherein', 'strap')"
"('user', 'neck', 'user')"
"('permits', 'quick', 'removal')"
"('protector', 'neck', 'user')"
"('first', 'side', 'second')"
"('adapted', 'support', 'garment')"
"('length', 'strap', 'section')"
"('protector', 'cover', 'disposable')"
"('whereby', 'user', 'may')"
"('meet', 'main', 'body')"
"('claim', 'wherein', 'zip')"
"('two', 'leg', 'portions')"
"('sealable', 'flap', 'provided')"
"('leg', 'portion', 'whereby')"
"('wherein', 'zip', 'fastener')"
"('main', 'body', 'sleeping')"
"('comprised', 'substantially', 'water')"
"('entry', 'sleeping', 'bag')"
"('feet', 'portion', 'provided')"
"('water', 'resistant', 'water')"
"('portion', 'comprised', 'substantially')"
"('flap', 'provided', 'either')"
"('bag', 'provided', 'zip')"
"('attached', 'said', 'main')"
"('substantially', 'length', 'main')"
"('feet', 'portion', 'said')"
"('formed', 'main', 'body')"
"('body', 'part', 'user')"
"('wherein', 'said', 'substantially')"
"('gusset', 'region', 'least')"
"('provided', 'gusset', 'region')"
"('portions', 'communication', 'attached')"
"('different', 'material', 'said')"
"('enclosing', 'trunk', 'user')"
"('drawstring', 'located', 'towards')"
"('region', 'attachment', 'sleeping')"
"('portion', 'around', 'leg')"
"('said', 'feet', 'portion')"
"('main', 'body', 'provided')"
"('said', 'head', 'portion')"
"('includes', 'least', 'one')"
"('drawstring', 'sleeping', 'bag')"
"('claimed', 'claim', 'wherein')"
"('claim', 'wherein', 'said')"
"('wherein', 'said', 'least')"
"('draw', 'said', 'least')"
"('main', 'body', 'substantially')"
"('enclose', 'hands', 'user')"
"('claim', 'wherein', 'one')"
"('arm', 'portion', 'respectively')"
"('around', 'lower', 'leg')"
"('attachment', 'sleeping', 'bag')"
"('part', 'portions', 'communication')"
"('length', 'main', 'body')"
"('may', 'draw', 'said')"
"('said', 'main', 'body')"
"('around', 'leg', 'sleeping')"
"('said', 'least', 'two')"
"('fully', 'least', 'one')"
"('provided', 'either', 'main')"
"('wherein', 'main', 'body')"
"('provided', 'drawstring', 'enable')"
"('provided', 'substantially', 'water')"
"('portion', 'releasable', 'attachable')"
"('user', 'draw', 'said')"
"('body', 'releasably', 'attachable')"
"('around', 'feet', 'lower')"
"('said', 'body', 'part')"
"('feet', 'portion', 'substantially')"
"('middle', 'front', 'portion')"
"('portion', 'provided', 'drawstring')"
"('releasably', 'attachable', 'main')"
"('one', 'releasable', 'attachable')"
"('draw', 'feet', 'portion')"
"('said', 'drawstring', 'located')"
"('part', 'portion', 'region')"
"('leg', 'sleeping', 'bag')"
"('sleeping', 'bag', 'claimed')"
"('material', 'said', 'main')"
"('trunk', 'user', 'least')"
"('feet', 'portion', 'around')"
"('region', 'least', 'two')"
"('lower', 'part', 'said')"
"('integrally', 'formed', 'main')"
"('proof', 'seal', 'said')"
"('provided', 'releasably', 'sealable')"
"('along', 'middle', 'front')"
"('wherein', 'said', 'head')"
"('wherein', 'one', 'said')"
"('towards', 'lower', 'part')"
"('communication', 'attached', 'said')"
"('substantially', 'water', 'resistant')"
"('least', 'one', 'body')"
"('part', 'said', 'least')"
"('wherein', 'another', 'said')"
"('part', 'portions', 'adapted')"
"('substantially', 'enclose', 'hands')"
"('either', 'main', 'body')"
"('located', 'substantially', 'along')"
"('wherein', 'provided', 'gusset')"
"('attachable', 'said', 'least')"
"('said', 'substantially', 'water')"
"('attached', 'sleeping', 'bag')"
"('hand', 'portion', 'releasable')"
"('attachable', 'body', 'part')"
"('head', 'portion', 'sleeping')"
"('head', 'portion', 'releasably')"
"('bag', 'including', 'main')"
"('portion', 'releasably', 'attachable')"
"('feet', 'user', 'sleeping')"
"('fastener', 'located', 'substantially')"
"('wherein', 'main', 'entry')"
"('wherein', 'provided', 'substantially')"
"('resistant', 'water', 'proof')"
"('running', 'substantially', 'length')"
"('least', 'two', 'body')"
"('one', 'arm', 'portion')"
"('portions', 'adapted', 'enclose')"
"('front', 'portion', 'main')"
"('releasably', 'sealable', 'flap')"
"('leg', 'portion', 'integrally')"
"('includes', 'head', 'portion')"
"('wherein', 'one', 'releasable')"
"('portion', 'integrally', 'formed')"
"('substantially', 'enclose', 'feet')"
"('body', 'provided', 'drawstring')"
"('user', 'sleeping', 'bag')"
"('comprised', 'different', 'material')"
"('leg', 'portion', 'arm')"
"('part', 'portion', 'comprised')"
"('portions', 'includes', 'least')"
"('seal', 'form', 'provided')"
"('hand', 'portion', 'comprised')"
"('portions', 'meet', 'main')"
"('including', 'main', 'body')"
"('user', 'draw', 'feet')"
"('provided', 'hand', 'portion')"
"('wherein', 'said', 'drawstring')"
"('releasable', 'attachable', 'body')"
"('main', 'entry', 'sleeping')"
"('one', 'body', 'part')"
"('portion', 'provided', 'feet')"
"('one', 'said', 'body')"
"('part', 'user', 'wherein')"
"('respectively', 'sleeping', 'bag')"
"('enable', 'user', 'draw')"
"('portion', 'around', 'lower')"
"('enclose', 'feet', 'user')"
"('portion', 'arm', 'portion')"
"('main', 'body', 'wherein')"
"('portion', 'attached', 'sleeping')"
"('leg', 'portions', 'meet')"
"('part', 'portion', 'attached')"
"('another', 'said', 'body')"
"('form', 'provided', 'releasably')"
"('claim', 'wherein', 'main')"
"('hand', 'portion', 'substantially')"
"('user', 'least', 'two')"
"('enclose', 'partially', 'fully')"
"('arm', 'portion', 'provided')"
"('body', 'wherein', 'another')"
"('user', 'wherein', 'one')"
"('seal', 'said', 'main')"
"('provided', 'feet', 'portion')"
"('portion', 'main', 'body')"
"('releasably', 'attachable', 'body')"
"('substantially', 'enclosing', 'trunk')"
"('leg', 'portion', 'provided')"
"('portion', 'region', 'attachment')"
"('leg', 'portion', 'around')"
"('claim', 'wherein', 'provided')"
"('wherein', 'said', 'feet')"
"('user', 'may', 'draw')"
"('said', 'least', 'one')"
"('adapted', 'enclose', 'partially')"
"('proof', 'material', 'sleeping')"
"('body', 'sleeping', 'bag')"
"('attachable', 'main', 'body')"
"('portion', 'sleeping', 'bag')"
"('portion', 'whereby', 'user')"
"('part', 'portions', 'includes')"
"('provided', 'drawstring', 'sleeping')"
"('feet', 'lower', 'leg')"
"('least', 'one', 'arm')"
"('substantially', 'along', 'middle')"
"('two', 'body', 'part')"
"('body', 'said', 'least')"
"('sleeping', 'bag', 'provided')"
"('material', 'sleeping', 'bag')"
"('hands', 'user', 'sleeping')"
"('one', 'leg', 'portion')"
"('drawstring', 'enable', 'user')"
"('least', 'one', 'leg')"
"('portion', 'said', 'hand')"
"('proof', 'seal', 'form')"
"('provided', 'zip', 'fastener')"
"('partially', 'fully', 'least')"
"('bag', 'claimed', 'claim')"
"('portion', 'substantially', 'enclose')"
"('main', 'body', 'releasably')"
"('zip', 'fastener', 'running')"
"('portion', 'comprised', 'different')"
"('least', 'two', 'leg')"
"('said', 'hand', 'portion')"
"('releasable', 'attachable', 'said')"
"('fastener', 'running', 'substantially')"
"('portions', 'includes', 'head')"
"('portion', 'respectively', 'sleeping')"
"('lower', 'leg', 'sleeping')"
"('water', 'proof', 'seal')"
"('body', 'part', 'portion')"
"('main', 'body', 'said')"
"('zip', 'fastener', 'located')"
"('portion', 'around', 'feet')"
"('bag', 'provided', 'substantially')"
"('body', 'substantially', 'enclosing')"
"('arm', 'portion', 'releasably')"
"('sleeping', 'bag', 'including')"
"('body', 'part', 'portions')"
"('located', 'towards', 'lower')"
"('portion', 'provided', 'hand')"
"('water', 'proof', 'material')"
"('portion', 'covers', 'ankle')"
"('portion', 'wherein', 'inner')"
"('sock', 'comprises', 'toe')"
"('area', 'heel', 'toes')"
"('knitted', 'along', 'root')"
"('knitted', 'bottom', 'top')"
"('sheaths', 'formed', 'four')"
"('toe', 'portion', 'foot')"
"('comprises', 'toe', 'portion')"
"('portion', 'covers', 'heel')"
"('top', 'part', 'sock')"
"('formed', 'four', 'dividers')"
"('sheaths', 'independently', 'knitted')"
"('dividers', 'inside', 'sock')"
"('heel', 'toes', 'heel')"
"('toes', 'heel', 'portion')"
"('part', 'sock', 'toe')"
"('ankle', 'sock', 'comprises')"
"('foot', 'area', 'heel')"
"('toe', 'portion', 'composed')"
"('layer', 'five', 'sheaths')"
"('sock', 'said', 'dividers')"
"('wherein', 'five', 'sheaths')"
"('inner', 'layer', 'five')"
"('five', 'sheaths', 'formed')"
"('ankle', 'portion', 'covers')"
"('five', 'sheaths', 'wherein')"
"('heel', 'portion', 'covers')"
"('four', 'dividers', 'inside')"
"('composed', 'five', 'sheaths')"
"('portion', 'composed', 'five')"
"('five', 'sheaths', 'independently')"
"('root', 'lines', 'toes')"
"('toe', 'portion', 'wherein')"
"('sheaths', 'foot', 'body')"
"('body', 'portion', 'covers')"
"('five', 'sheaths', 'foot')"
"('along', 'root', 'lines')"
"('inside', 'sock', 'said')"
"('portion', 'foot', 'body')"
"('portion', 'covers', 'foot')"
"('bottom', 'top', 'part')"
"('said', 'dividers', 'knitted')"
"('sheaths', 'wherein', 'five')"
"('lines', 'toes', 'foot')"
"('wherein', 'inner', 'layer')"
"('dividers', 'knitted', 'bottom')"
"('sock', 'toe', 'portion')"
"('independently', 'knitted', 'along')"
"('covers', 'ankle', 'sock')"
"('covers', 'heel', 'ankle')"
"('covers', 'foot', 'area')"
"('toes', 'foot', 'body')"
"('heel', 'ankle', 'portion')"
"('foot', 'body', 'portion')"
"('said', 'first', 'end')"
"('protecting', 'perineum', 'males')"
"('membrane', 'comprising', 'cloth')"
"('adjacent', 'said', 'back')"
"('comprising', 'elastomeric', 'material')"
"('said', 'first', 'loop')"
"('comprising', 'cloth', 'material')"
"('damage', 'penile', 'artery')"
"('back', 'edge', 'first')"
"('artery', 'said', 'device')"
"('perineum', 'said', 'securing')"
"('securing', 'means', 'removably')"
"('said', 'middle', 'portion')"
"('covering', 'membrane', 'comprising')"
"('prevent', 'damage', 'penile')"
"('slit', 'extending', 'therethrough')"
"('generally', 'adjacent', 'said')"
"('end', 'second', 'end')"
"('perineum', 'males', 'riding')"
"('member', 'first', 'end')"
"('height', 'generally', 'inch')"
"('comprises', 'foamed', 'elastomeric')"
"('said', 'securing', 'means')"
"('material', 'comprising', 'foamed')"
"('holding', 'said', 'panel')"
"('covering', 'member', 'slit')"
"('end', 'securely', 'attached')"
"('said', 'second', 'loop')"
"('parallel', 'said', 'front')"
"('said', 'panel', 'orientated')"
"('member', 'said', 'elongate')"
"('middle', 'portion', 'may')"
"('end', 'attached', 'said')"
"('said', 'panel', 'height')"
"('second', 'end', 'said')"
"('wherein', 'said', 'cushioning')"
"('said', 'second', 'side')"
"('middle', 'portion', 'generally')"
"('selectively', 'extended', 'said')"
"('membrane', 'said', 'covering')"
"('edge', 'first', 'side')"
"('first', 'end', 'securely')"
"('said', 'covering', 'member')"
"('comprising', 'elongate', 'flexible')"
"('said', 'slit', 'removed')"
"('inch', 'inches', 'perineum')"
"('means', 'removably', 'abutting')"
"('generally', 'positioned', 'adjacent')"
"('width', 'generally', 'inches')"
"('securely', 'attached', 'said')"
"('generally', 'parallel', 'said')"
"('front', 'edge', 'said')"
"('said', 'first', 'second')"
"('member', 'slit', 'extending')"
"('comprises', 'elongate', 'flexible')"
"('perineum', 'protecting', 'device')"
"('extending', 'therethrough', 'said')"
"('middle', 'portion', 'said')"
"('means', 'comprising', 'first')"
"('riding', 'bicycle', 'prevent')"
"('edge', 'said', 'panel')"
"('flexible', 'member', 'said')"
"('said', 'panel', 'width')"
"('portion', 'comprising', 'cushioning')"
"('edge', 'back', 'side')"
"('material', 'said', 'middle')"
"('edge', 'positioned', 'generally')"
"('said', 'device', 'comprising')"
"('comprising', 'panel', 'said')"
"('said', 'panel', 'generally')"
"('first', 'second', 'loop')"
"('said', 'panel', 'perineum')"
"('removably', 'abutting', 'said')"
"('material', 'said', 'cushioning')"
"('inch', 'inches', 'securing')"
"('material', 'comprises', 'foamed')"
"('securing', 'means', 'comprising')"
"('member', 'said', 'second')"
"('panel', 'front', 'edge')"
"('device', 'protecting', 'perineum')"
"('edge', 'wherein', 'said')"
"('removably', 'holding', 'said')"
"('panel', 'said', 'panel')"
"('panel', 'width', 'generally')"
"('side', 'edge', 'securing')"
"('first', 'side', 'edge')"
"('loop', 'member', 'said')"
"('bicycle', 'prevent', 'damage')"
"('said', 'elongate', 'flexible')"
"('first', 'loop', 'member')"
"('generally', 'inch', 'inches')"
"('inches', 'length', 'generally')"
"('cushioning', 'material', 'comprising')"
"('second', 'side', 'edge')"
"('elastomeric', 'material', 'said')"
"('side', 'edge', 'said')"
"('loop', 'members', 'comprises')"
"('side', 'edge', 'positioned')"
"('inches', 'securing', 'means')"
"('comprising', 'first', 'loop')"
"('inches', 'height', 'generally')"
"('device', 'claim', 'wherein')"
"('slit', 'generally', 'positioned')"
"('wherein', 'said', 'panel')"
"('said', 'panel', 'front')"
"('cloth', 'material', 'said')"
"('elastomeric', 'material', 'perineum')"
"('covering', 'membrane', 'comprises')"
"('members', 'comprises', 'elongate')"
"('end', 'said', 'first')"
"('said', 'slit', 'generally')"
"('middle', 'portion', 'comprising')"
"('abutting', 'said', 'panel')"
"('edge', 'back', 'edge')"
"('said', 'cushioning', 'material')"
"('enclosed', 'covering', 'membrane')"
"('second', 'end', 'securely')"
"('material', 'perineum', 'protecting')"
"('panel', 'middle', 'portion')"
"('generally', 'inches', 'inches')"
"('portion', 'generally', 'enclosed')"
"('said', 'front', 'edge')"
"('inches', 'inches', 'length')"
"('removed', 'said', 'covering')"
"('panel', 'orientated', 'generally')"
"('attached', 'said', 'first')"
"('generally', 'enclosed', 'covering')"
"('first', 'end', 'second')"
"('therethrough', 'said', 'slit')"
"('cushioning', 'material', 'said')"
"('slit', 'removed', 'said')"
"('protecting', 'device', 'protecting')"
"('panel', 'perineum', 'said')"
"('foamed', 'elastomeric', 'material')"
"('portion', 'said', 'middle')"
"('back', 'edge', 'perineum')"
"('second', 'loop', 'members')"
"('claim', 'wherein', 'said')"
"('flexible', 'member', 'comprising')"
"('member', 'said', 'panel')"
"('comprising', 'foamed', 'elastomeric')"
"('first', 'end', 'attached')"
"('edge', 'securing', 'means')"
"('membrane', 'perineum', 'protecting')"
"('covering', 'membrane', 'perineum')"
"('adjacent', 'said', 'front')"
"('comprising', 'panel', 'front')"
"('edge', 'said', 'first')"
"('second', 'end', 'attached')"
"('back', 'edge', 'said')"
"('comprises', 'cloth', 'material')"
"('panel', 'generally', 'enclosed')"
"('protecting', 'device', 'claim')"
"('may', 'selectively', 'extended')"
"('length', 'generally', 'inches')"
"('penile', 'artery', 'said')"
"('said', 'panel', 'middle')"
"('edge', 'said', 'second')"
"('covering', 'membrane', 'said')"
"('edge', 'perineum', 'protecting')"
"('orientated', 'generally', 'parallel')"
"('extended', 'said', 'slit')"
"('comprising', 'cushioning', 'material')"
"('said', 'back', 'edge')"
"('member', 'said', 'first')"
"('said', 'panel', 'slit')"
"('cushioning', 'material', 'perineum')"
"('member', 'comprising', 'elastomeric')"
"('extending', 'therethrough', 'wherein')"
"('inches', 'inches', 'height')"
"('attached', 'said', 'second')"
"('portion', 'may', 'selectively')"
"('front', 'edge', 'back')"
"('back', 'side', 'edge')"
"('elongate', 'flexible', 'member')"
"('means', 'removably', 'holding')"
"('covering', 'member', 'said')"
"('loop', 'members', 'comprising')"
"('positioned', 'adjacent', 'said')"
"('material', 'said', 'panel')"
"('front', 'edge', 'wherein')"
"('cushioning', 'material', 'comprises')"
"('wherein', 'said', 'covering')"
"('back', 'edge', 'second')"
"('panel', 'slit', 'extending')"
"('loop', 'member', 'first')"
"('panel', 'height', 'generally')"
"('portion', 'said', 'panel')"
"('said', 'covering', 'membrane')"
"('membrane', 'comprises', 'cloth')"
"('therethrough', 'wherein', 'said')"
"('device', 'comprising', 'panel')"
"('second', 'loop', 'member')"
"('said', 'second', 'end')"
"('wherein', 'said', 'middle')"
"('positioned', 'generally', 'adjacent')"
"('said', 'first', 'side')"
"('edge', 'second', 'loop')"
"('wherein', 'said', 'first')"
"('members', 'comprising', 'elongate')"
"('side', 'edge', 'back')"
"('inches', 'perineum', 'protecting')"
"('males', 'riding', 'bicycle')"
"('articulatable', 'non', 'rotating')"
"('water', 'air', 'region')"
"('air', 'inlet', 'directing')"
"('articulatable', 'upon', 'removal')"
"('said', 'nozzle', 'said')"
"('assembly', 'comprises', 'plurality')"
"('rotating', 'apertures', 'impart')"
"('said', 'eyeball', 'rotary')"
"('passing', 'said', 'stream')"
"('direction', 'determined', 'orientation')"
"('jet', 'assembly', 'rotary')"
"('engage', 'end', 'said')"
"('rotating', 'apertures', 'response')"
"('tube', 'said', 'eyeball')"
"('assembly', 'rotary', 'mode')"
"('respective', 'ones', 'said')"
"('apertures', 'whirlpool', 'jet')"
"('assembly', 'selectively', 'convertible')"
"('canted', 'apertures', 'passing')"
"('first', 'second', 'configurations')"
"('aperture', 'jet', 'assembly')"
"('circular', 'pattern', 'said')"
"('nozzle', 'plurality', 'lugs')"
"('stream', 'water', 'air')"
"('assembly', 'comprising', 'Venturi')"
"('rotation', 'apertures', 'directing')"
"('jet', 'assembly', 'directable')"
"('assembly', 'rotary', 'configuration')"
"('face', 'said', 'first')"
"('spot', 'rotary', 'face')"
"('water', 'air', 'separated')"
"('stationary', 'configuration', 'removed')"
"('Venturi', 'housing', 'water')"
"('stationary', 'mode', 'nozzle')"
"('relative', 'said', 'wall')"
"('streams', 'flow', 'respective')"
"('said', 'nozzle', 'plurality')"
"('claim', 'wherein', 'said')"
"('stream', 'generating', 'rotational')"
"('means', 'engaging', 'opposite')"
"('assembly', 'spraying', 'water')"
"('tube', 'said', 'aperture')"
"('apertures', 'passing', 'said')"
"('second', 'configuration', 'removed')"
"('face', 'comprises', 'divider')"
"('comprising', 'flow', 'control')"
"('eyeball', 'may', 'oriented')"
"('tube', 'whirlpool', 'jet')"
"('said', 'water', 'inlet')"
"('plurality', 'lugs', 'engaging')"
"('tube', 'eyeball', 'positioned')"
"('said', 'stream', 'generating')"
"('air', 'flow', 'said')"
"('inlet', 'directing', 'said')"
"('selected', 'angle', 'relative')"
"('face', 'said', 'whirlpool')"
"('wherein', 'said', 'rotary')"
"('plurality', 'canted', 'apertures')"
"('oriented', 'selected', 'angle')"
"('inlet', 'air', 'inlet')"
"('removable', 'rotary', 'face')"
"('assembly', 'engaging', 'said')"
"('separated', 'streams', 'flow')"
"('apertures', 'impart', 'rotational')"
"('communication', 'said', 'nozzle')"
"('end', 'said', 'nozzle')"
"('nozzle', 'articulatable', 'upon')"
"('water', 'air', 'flowing')"
"('said', 'stream', 'water')"
"('directable', 'stationary', 'configuration')"
"('lugs', 'engage', 'end')"
"('response', 'water', 'air')"
