"('bottom', 'end', 'front')"
"('comprises', 'plurality', 'lugs')"
"('jet', 'assembly', 'comprising')"
"('nozzle', 'said', 'nozzle')"
"('flow', 'said', 'nozzle')"
"('spin', 'said', 'rotary')"
"('said', 'nozzle', 'jet')"
"('face', 'attached', 'said')"
"('second', 'configurations', 'comprising')"
"('stream', 'respective', 'ones')"
"('claim', 'upon', 'removal')"
"('aperture', 'wall', 'water')"
"('rotational', 'torque', 'said')"
"('directable', 'stationary', 'mode')"
"('rotating', 'said', 'rotating')"
"('comprises', 'divider', 'dividing')"
"('nozzle', 'tube', 'releasable')"
"('rotatable', 'nozzle', 'tube')"
"('air', 'separated', 'streams')"
"('assembly', 'said', 'directable')"
"('first', 'configuration', 'operably')"
"('rotary', 'face', 'said')"
"('rotary', 'face', 'attached')"
"('face', 'said', 'rotary')"
"('ones', 'said', 'canted')"
"('determined', 'orientation', 'said')"
"('non', 'rotating', 'nozzle')"
"('hole', 'said', 'enclosure')"
"('opposite', 'surfaces', 'water')"
"('water', 'inlet', 'air')"
"('said', 'aperture', 'direction')"
"('said', 'stream', 'respective')"
"('rotary', 'assembly', 'comprises')"
"('engaging', 'said', 'nozzle')"
"('said', 'stream', 'said')"
"('nozzle', 'tube', 'plurality')"
"('water', 'inlet', 'said')"
"('holding', 'enclosure', 'perimeter')"
"('nozzle', 'jet', 'assembly')"
"('nozzle', 'tube', 'whirlpool')"
"('coupled', 'said', 'nozzle')"
"('claim', 'comprising', 'flow')"
"('mixed', 'water', 'air')"
"('positioned', 'concentrically', 'within')"
"('convertible', 'first', 'second')"
"('selective', 'conversion', 'said')"
"('nozzle', 'tube', 'said')"
"('attached', 'said', 'nozzle')"
"('lugs', 'engaging', 'said')"
"('nozzle', 'tube', 'eyeball')"
"('flowing', 'said', 'nozzle')"
"('jet', 'assembly', 'recited')"
"('water', 'air', 'flow')"
"('stream', 'mixed', 'water')"
"('removal', 'said', 'rotary')"
"('said', 'rotary', 'assembly')"
"('configuration', 'said', 'rotary')"
"('assembly', 'said', 'rotary')"
"('perimeter', 'hole', 'said')"
"('configuration', 'removed', 'said')"
"('assembly', 'recited', 'claim')"
"('tube', 'plurality', 'canted')"
"('said', 'rotating', 'apertures')"
"('configurations', 'comprising', 'articulatable')"
"('air', 'selected', 'spot')"
"('nozzle', 'rotating', 'said')"
"('said', 'wall', 'aperture')"
"('enclosure', 'perimeter', 'hole')"
"('said', 'nozzle', 'rotating')"
"('generating', 'rotational', 'spin')"
"('said', 'enclosure', 'whirlpool')"
"('said', 'nozzle', 'articulatable')"
"('face', 'rotation', 'apertures')"
"('control', 'means', 'adjusting')"
"('jet', 'assembly', 'jet')"
"('inlet', 'generating', 'stream')"
"('selectively', 'convertible', 'first')"
"('said', 'rotary', 'configuration')"
"('apertures', 'directing', 'stream')"
"('assembly', 'said', 'nozzle')"
"('surfaces', 'water', 'holding')"
"('directing', 'said', 'stream')"
"('recited', 'claim', 'comprising')"
"('pattern', 'said', 'rotary')"
"('region', 'said', 'rotary')"
"('said', 'nozzle', 'tube')"
"('engaging', 'opposite', 'surfaces')"
"('nozzle', 'removable', 'rotary')"
"('housing', 'water', 'inlet')"
"('configuration', 'operably', 'coupled')"
"('comprising', 'Venturi', 'housing')"
"('spraying', 'water', 'air')"
"('within', 'said', 'housing')"
"('water', 'air', 'selected')"
"('rotary', 'assembly', 'spraying')"
"('claim', 'comprising', 'means')"
"('canted', 'apertures', 'whirlpool')"
"('rotary', 'face', 'whirlpool')"
"('said', 'housing', 'fluid')"
"('rotary', 'face', 'rotation')"
"('removed', 'said', 'nozzle')"
"('mode', 'nozzle', 'articulatable')"
"('nozzle', 'operation', 'said')"
"('releasable', 'manner', 'selective')"
"('aperture', 'direction', 'determined')"
"('enclosure', 'whirlpool', 'jet')"
"('concentrically', 'engaging', 'said')"
"('water', 'air', 'aperture')"
"('flow', 'control', 'means')"
"('selected', 'spot', 'rotary')"
"('rotary', 'mode', 'said')"
"('said', 'air', 'inlet')"
"('adjusting', 'amount', 'water')"
"('eyeball', 'positioned', 'concentrically')"
"('may', 'oriented', 'selected')"
"('air', 'region', 'said')"
"('comprising', 'articulatable', 'non')"
"('water', 'holding', 'enclosure')"
"('flow', 'respective', 'rotating')"
"('plurality', 'lugs', 'engage')"
"('said', 'directable', 'stationary')"
"('recited', 'claim', 'upon')"
"('said', 'first', 'configuration')"
"('operation', 'said', 'whirlpool')"
"('rotary', 'configuration', 'directable')"
"('wall', 'water', 'holding')"
"('rotary', 'face', 'comprises')"
"('rotary', 'assembly', 'engaging')"
"('stationary', 'configuration', 'said')"
"('jet', 'assembly', 'selectively')"
"('air', 'inlet', 'generating')"
"('air', 'aperture', 'wall')"
"('said', 'second', 'configuration')"
"('tube', 'releasable', 'manner')"
"('comprising', 'means', 'engaging')"
"('nozzle', 'articulatable', 'directing')"
"('assembly', 'jet', 'assembly')"
"('upon', 'removal', 'said')"
"('respective', 'rotating', 'apertures')"
"('manner', 'selective', 'conversion')"
"('generating', 'stream', 'mixed')"
"('whirlpool', 'jet', 'assembly')"
"('said', 'nozzle', 'operation')"
"('face', 'whirlpool', 'jet')"
"('face', 'fluid', 'communication')"
"('torque', 'said', 'rotary')"
"('assembly', 'directable', 'stationary')"
"('housing', 'fluid', 'communication')"
"('amount', 'water', 'air')"
"('air', 'circular', 'pattern')"
"('rotary', 'configuration', 'concentrically')"
"('directing', 'stream', 'water')"
"('mode', 'said', 'second')"
"('enclosure', 'non', 'rotatable')"
"('air', 'flowing', 'said')"
"('water', 'air', 'circular')"
"('inlet', 'said', 'air')"
"('divider', 'dividing', 'said')"
"('wall', 'aperture', 'jet')"
"('orientation', 'said', 'eyeball')"
"('said', 'canted', 'apertures')"
"('concentrically', 'within', 'said')"
"('said', 'rotary', 'face')"
"('said', 'whirlpool', 'jet')"
"('rotary', 'face', 'fluid')"
"('rotary', 'assembly', 'said')"
"('assembly', 'comprises', 'divider')"
"('dividing', 'said', 'stream')"
"('holding', 'enclosure', 'non')"
"('said', 'eyeball', 'may')"
"('stream', 'said', 'nozzle')"
"('angle', 'relative', 'said')"
"('eyeball', 'rotary', 'assembly')"
"('operably', 'coupled', 'said')"
"('configuration', 'concentrically', 'engaging')"
"('conversion', 'said', 'whirlpool')"
"('recited', 'claim', 'wherein')"
"('rotational', 'spin', 'said')"
"('configuration', 'directable', 'stationary')"
"('rotating', 'nozzle', 'removable')"
"('impart', 'rotational', 'torque')"
"('means', 'adjusting', 'amount')"
"('articulatable', 'directing', 'stream')"
"('apertures', 'response', 'water')"
"('communication', 'said', 'water')"
"('fluid', 'communication', 'said')"
"('non', 'rotatable', 'nozzle')"
"('inner', 'walls', 'engage')"
"('ends', 'said', 'bars')"
"('comprises', 'tubular', 'braces')"
"('said', 'bathtub', 'inner')"
"('rails', 'whereby', 'seat')"
"('held', 'floor', 'side')"
"('legs', 'provided', 'wheels')"
"('engage', 'inside', 'surface')"
"('may', 'washed', 'showered')"
"('together', 'along', 'rails')"
"('bars', 'elevated', 'hand')"
"('bathtub', 'rails', 'provided')"
"('inside', 'surface', 'bathtub')"
"('means', 'whereby', 'brake')"
"('bars', 'proximate', 'inner')"
"('bathtub', 'proximate', 'floor')"
"('installation', 'position', 'outer')"
"('one', 'wheels', 'provided')"
"('claim', 'combination', 'tub')"
"('support', 'legs', 'assembly')"
"('proximate', 'inner', 'ends')"
"('downwardly', 'said', 'rails')"
"('bearings', 'rollers', 'located')"
"('wherein', 'seat', 'positioned')"
"('outer', 'bathtub', 'side')"
"('extending', 'upwardly', 'brake')"
"('bathtub', 'side', 'inner')"
"('two', 'rails', 'dimensioned')"
"('moveable', 'seat', 'support')"
"('legs', 'bars', 'may')"
"('rest', 'ledge', 'assembly')"
"('said', 'bearings', 'shaped')"
"('whereby', 'rails', 'may')"
"('rails', 'bathtub', 'two')"
"('wherein', 'said', 'outer')"
"('secure', 'rails', 'displaced')"
"('support', 'means', 'supporting')"
"('location', 'wherein', 'seat')"
"('advancement', 'supporting', 'bars')"
"('support', 'legs', 'may')"
"('side', 'inner', 'rail')"
"('comprising', 'linkage', 'extending')"
"('rails', 'provided', 'inner')"
"('whereby', 'brake', 'means')"
"('comprises', 'adjustable', 'spacers')"
"('outer', 'ends', 'connected')"
"('means', 'extending', 'ledge')"
"('claim', 'wherein', 'supporting')"
"('brake', 'means', 'may')"
"('means', 'comprises', 'tub')"
"('claim', 'wherein', 'one')"
"('seat', 'seat', 'support')"
"('said', 'bars', 'permitting')"
"('seated', 'seat', 'assembly')"
"('rail', 'support', 'means')"
"('shift', 'seat', 'position')"
"('walls', 'bathtub', 'assembly')"
"('claim', 'comprising', 'linkage')"
"('upon', 'installation', 'position')"
"('sliding', 'advancement', 'across')"
"('wheels', 'lower', 'ends')"
"('axis', 'rotation', 'supporting')"
"('thereby', 'shift', 'seat')"
"('legs', 'assembly', 'claim')"
"('bathtub', 'two', 'supporting')"
"('combination', 'tub', 'inner')"
"('said', 'bathtub', 'position')"
"('ledge', 'contacting', 'extension')"
"('ledge', 'assembly', 'claim')"
"('wherein', 'inner', 'rail')"
"('ledge', 'wherein', 'inner')"
"('center', 'region', 'said')"
"('bathtub', 'whereat', 'person')"
"('wherein', 'said', 'positioning')"
"('showered', 'comprising', 'two')"
"('said', 'seat', 'support')"
"('shaped', 'positioned', 'engage')"
"('bathtub', 'position', 'center')"
"('elevated', 'hand', 'advancement')"
"('inner', 'bathtub', 'side')"
"('ends', 'connected', 'two')"
"('advance', 'upon', 'installation')"
"('span', 'width', 'said')"
"('seat', 'support', 'legs')"
"('downwardly', 'rails', 'engage')"
"('said', 'floor', 'assembly')"
"('bars', 'permitting', 'outer')"
"('supporting', 'rails', 'bathtub')"
"('assembly', 'claim', 'wherein')"
"('bathtub', 'side', 'outer')"
"('seat', 'supporting', 'bars')"
"('bathtub', 'secure', 'rails')"
"('lower', 'ends', 'assembly')"
"('supporting', 'bearings', 'rollers')"
"('bars', 'may', 'held')"
"('provided', 'wheels', 'lower')"
"('means', 'may', 'actuated')"
"('supporting', 'bars', 'substantially')"
"('supporting', 'bars', 'seat')"
"('floor', 'outside', 'bathtub')"
"('rails', 'may', 'supported')"
"('may', 'advanced', 'together')"
"('inner', 'location', 'wherein')"
"('use', 'assembly', 'claim')"
"('comprising', 'two', 'rails')"
"('bearings', 'fitted', 'supporting')"
"('wheels', 'provided', 'brake')"
"('bathtub', 'invalid', 'seat')"
"('mounted', 'sliding', 'advancement')"
"('advanced', 'together', 'along')"
"('inner', 'sidewall', 'provides')"
"('brake', 'means', 'assembly')"
"('seat', 'assembly', 'including')"
"('shifted', 'position', 'adjacent')"
"('assembly', 'claim', 'comprising')"
"('outer', 'ends', 'bars')"
"('assembly', 'claim', 'combination')"
"('provide', 'axis', 'rotation')"
"('outside', 'bathtub', 'inner')"
"('bearings', 'shaped', 'positioned')"
"('engage', 'two', 'rails')"
"('ends', 'bars', 'elevated')"
"('said', 'positioning', 'brace')"
"('means', 'comprises', 'legs')"
"('comprises', 'legs', 'extend')"
"('outer', 'side', 'bathtub')"
"('bars', 'seat', 'support')"
"('downwardly', 'rest', 'ledge')"
"('carrying', 'seat', 'bars')"
"('side', 'outer', 'rail')"
"('outer', 'rail', 'support')"
"('rollers', 'located', 'provide')"
"('floor', 'side', 'seat')"
"('legs', 'may', 'advanced')"
"('adjustable', 'spacers', 'extend')"
"('seat', 'position', 'outer')"
"('supporting', 'bars', 'proximate')"
"('seat', 'positioned', 'center')"
"('washed', 'showered', 'comprising')"
"('bars', 'substantially', 'inner')"
"('center', 'region', 'bathtub')"
"('bathtub', 'supporting', 'bearings')"
"('seat', 'mounted', 'advance')"
"('bars', 'carrying', 'seat')"
"('along', 'rails', 'thereby')"
"('positioning', 'brace', 'means')"
"('proximate', 'floor', 'outside')"
"('means', 'comprises', 'adjustable')"
"('provided', 'brake', 'means')"
"('fitted', 'supporting', 'bars')"
"('rails', 'said', 'floor')"
"('wherein', 'moveable', 'seat')"
"('two', 'rails', 'whereby')"
"('also', 'shifted', 'position')"
"('engage', 'inner', 'walls')"
"('supported', 'said', 'ledge')"
"('side', 'bathtub', 'proximate')"
"('comprises', 'tub', 'ledge')"
"('positioned', 'center', 'region')"
"('bathtub', 'inner', 'walls')"
"('inner', 'outer', 'ends')"
"('bathtub', 'inner', 'location')"
"('positioned', 'engage', 'two')"
"('may', 'supported', 'said')"
"('tubular', 'braces', 'mounted')"
"('rails', 'dimensioned', 'span')"
"('said', 'outer', 'rail')"
"('hand', 'advancement', 'supporting')"
"('said', 'rails', 'said')"
"('may', 'actuated', 'person')"
"('means', 'assembly', 'claim')"
"('rotation', 'supporting', 'bars')"
"('two', 'supporting', 'bars')"
"('permitting', 'outer', 'ends')"
"('said', 'bathtub', 'assembly')"
"('means', 'extends', 'downwardly')"
"('comprising', 'positioning', 'brace')"
"('legs', 'also', 'shifted')"
"('linkage', 'extending', 'upwardly')"
"('advancement', 'across', 'width')"
"('inner', 'walls', 'bathtub')"
"('side', 'bathtub', 'rails')"
"('mounted', 'advance', 'upon')"
"('person', 'may', 'washed')"
"('support', 'means', 'provided')"
"('position', 'adjacent', 'outer')"
"('adjacent', 'outer', 'side')"
"('whereby', 'seat', 'supporting')"
"('extend', 'downwardly', 'rest')"
"('brace', 'means', 'comprises')"
"('claim', 'wherein', 'said')"
"('tub', 'inner', 'sidewall')"
"('bars', 'said', 'bearings')"
"('legs', 'extend', 'downwardly')"
"('walls', 'engage', 'inner')"
"('region', 'said', 'bathtub')"
"('ends', 'said', 'support')"
"('surface', 'bathtub', 'secure')"
"('extension', 'means', 'extending')"
"('region', 'bathtub', 'said')"
"('width', 'bathtub', 'inner')"
"('side', 'said', 'bathtub')"
"('may', 'held', 'floor')"
"('dimensioned', 'span', 'width')"
"('means', 'provided', 'outer')"
"('claim', 'wherein', 'inner')"
"('side', 'seat', 'remote')"
"('ledge', 'whereby', 'rails')"
"('position', 'center', 'region')"
"('sidewall', 'provides', 'ledge')"
"('extend', 'downwardly', 'said')"
"('seat', 'assembly', 'claim')"
"('bathtub', 'said', 'seat')"
"('ends', 'assembly', 'claim')"
"('person', 'seated', 'seat')"
"('provides', 'ledge', 'wherein')"
"('bars', 'inner', 'outer')"
"('means', 'supporting', 'rails')"
"('width', 'said', 'bathtub')"
"('invalid', 'seat', 'assembly')"
"('connected', 'two', 'moveable')"
"('located', 'provide', 'axis')"
"('braces', 'mounted', 'sliding')"
"('bathtub', 'inner', 'outer')"
"('tub', 'ledge', 'contacting')"
"('seat', 'bars', 'inner')"
"('rails', 'thereby', 'shift')"
"('said', 'support', 'bars')"
"('bars', 'seat', 'seat')"
"('across', 'width', 'bathtub')"
"('assembly', 'including', 'seat')"
"('contacting', 'extension', 'means')"
"('support', 'bars', 'said')"
"('bathtub', 'assembly', 'claim')"
"('inner', 'outer', 'side')"
"('provided', 'outer', 'bathtub')"
"('support', 'means', 'comprises')"
"('supporting', 'bearings', 'fitted')"
"('supporting', 'bars', 'carrying')"
"('extending', 'ledge', 'whereby')"
"('support', 'legs', 'bars')"
"('wherein', 'one', 'wheels')"
"('upwardly', 'brake', 'means')"
"('displaced', 'use', 'assembly')"
"('claim', 'wherein', 'moveable')"
"('support', 'legs', 'also')"
"('said', 'ledge', 'assembly')"
"('inner', 'ends', 'said')"
"('brace', 'means', 'extends')"
"('actuated', 'person', 'seated')"
"('including', 'seat', 'mounted')"
"('two', 'moveable', 'seat')"
"('support', 'legs', 'provided')"
"('said', 'bathtub', 'whereat')"
"('position', 'outer', 'side')"
"('claim', 'comprising', 'positioning')"
"('inner', 'rail', 'support')"
"('whereat', 'person', 'may')"
"('floor', 'assembly', 'claim')"
"('wherein', 'supporting', 'bearings')"
"('substantially', 'inner', 'ends')"
"('means', 'comprises', 'tubular')"
"('remote', 'bathtub', 'supporting')"
"('provided', 'inner', 'bathtub')"
"('rails', 'displaced', 'use')"
"('outer', 'side', 'said')"
"('rails', 'engage', 'inside')"
"('brake', 'means', 'whereby')"
"('spacers', 'extend', 'downwardly')"
"('extends', 'downwardly', 'rails')"
"('seat', 'remote', 'bathtub')"
"('extend', 'support', 'seat')"
"('front', 'ends', 'thereof')"
"('inserted', 'said', 'penetration')"
"('prevention', 'members', 'detachable')"
"('member', 'configured', 'inserted')"
"('extend', 'bottom', 'surface')"
"('beyond', 'diameter', 'mounting')"
"('mounting', 'hole', 'faucet')"
"('members', 'turned', 'plurality')"
"('prevention', 'members', 'provided')"
"('member', 'peripheral', 'wall')"
"('plurality', 'connectors', 'faucet')"
"('wherein', 'plurality', 'connectors')"
"('member', 'engages', 'internal')"
"('nuts', 'screwed', 'onto')"
"('said', 'mounting', 'hole')"
"('member', 'defined', 'one')"
"('plurality', 'connectors', 'bolts')"
"('portion', 'said', 'tightening')"
"('bottom', 'surface', 'configured')"
"('support', 'seat', 'detachably')"
"('members', 'constructed', 'plurality')"
"('convex', 'portion', 'formed')"
"('prevention', 'members', 'therein')"
"('upper', 'surface', 'configured')"
"('connectors', 'tightening', 'member')"
"('members', 'configured', 'movable')"
"('said', 'main', 'body')"
"('configured', 'engage', 'bottom')"
"('position', 'turning', 'prevention')"
"('distance', 'spacer', 'provided')"
"('members', 'positioned', 'external')"
"('portion', 'said', 'faucet')"
"('body', 'faucet', 'support')"
"('tightening', 'member', 'inclined')"
"('faucet', 'onto', 'said')"
"('penetration', 'hole', 'fix')"
"('plurality', 'connectors', 'tightening')"
"('claim', 'wherein', 'upper')"
"('tightening', 'members', 'screwed')"
"('penetrate', 'said', 'bolts')"
"('tightening', 'members', 'inserted')"
"('ring', 'penetration', 'hole')"
"('tightening', 'members', 'inhibit')"
"('directed', 'outward', 'tightening')"
"('insertion', 'holes', 'drilled')"
"('seat', 'grip', 'base')"
"('prevention', 'members', 'positioned')"
"('said', 'cover', 'ring')"
"('plate', 'wherein', 'plurality')"
"('peripheral', 'wall', 'said')"
"('attached', 'said', 'connectors')"
"('claims', 'wherein', 'plurality')"
"('adjustable', 'portion', 'attached')"
"('holding', 'water', 'conducting')"
"('positioned', 'said', 'convex')"
"('connectors', 'two', 'bolts')"
"('wall', 'thereof', 'prevent')"
"('said', 'turning', 'prevention')"
"('hole', 'faucet', 'support')"
"('members', 'inhibit', 'said')"
"('connectors', 'configured', 'prevent')"
"('holes', 'drilled', 'said')"
"('connectors', 'maintaining', 'distance')"
"('end', 'portions', 'plurality')"
"('wherein', 'opening', 'portion')"
"('bottom', 'surface', 'base')"
"('upper', 'surface', 'tightening')"
"('members', 'contact', 'internal')"
"('directed', 'inward', 'faucet')"
"('external', 'side', 'surfaces')"
"('mounting', 'hole', 'front')"
"('configured', 'engage', 'base')"
"('faucet', 'support', 'seat')"
"('members', 'said', 'base')"
"('upper', 'surface', 'front')"
"('support', 'seat', 'plurality')"
"('positioned', 'external', 'side')"
"('end', 'portions', 'tightening')"
"('tightening', 'members', 'open')"
"('comprising', 'support', 'seat')"
"('toward', 'said', 'base')"
"('predetermined', 'position', 'turning')"
"('fixed', 'base', 'plate')"
"('members', 'detachable', 'said')"
"('outward', 'plurality', 'turning')"
"('surface', 'said', 'turning')"
"('thereby', 'supporting', 'faucet')"
"('body', 'detachable', 'said')"
"('resistance', 'said', 'tightening')"
"('said', 'spacer', 'provided')"
"('surfaces', 'said', 'turning')"
"('portion', 'lies', 'said')"
"('turned', 'plurality', 'tightening')"
"('claim', 'wherein', 'resistance')"
"('said', 'plurality', 'turning')"
"('attached', 'depending', 'upon')"
"('engaging', 'plurality', 'connectors')"
"('tightening', 'members', 'constructed')"
"('claim', 'wherein', 'guide')"
"('plurality', 'turning', 'prevention')"
"('one', 'claims', 'comprising')"
"('opened', 'beyond', 'diameter')"
"('upon', 'size', 'said')"
"('plurality', 'connectors', 'configured')"
"('portion', 'formed', 'holding')"
"('turning', 'prevention', 'member')"
"('hole', 'formed', 'base')"
"('engages', 'internal', 'surface')"
"('plate', 'attached', 'said')"
"('member', 'inclined', 'toward')"
"('support', 'seat', 'contact')"
"('connectors', 'configured', 'extend')"
"('inserted', 'mounting', 'hole')"
"('said', 'plurality', 'tightening')"
"('portion', 'formed', 'upper')"
"('loosening', 'direction', 'thereof')"
"('fixing', 'member', 'moved')"
"('configured', 'prevent', 'plurality')"
"('end', 'portion', 'handy')"
"('onto', 'said', 'base')"
"('adapter', 'member', 'lies')"
"('connectors', 'provided', 'said')"
"('attaching', 'said', 'support')"
"('mounting', 'hole', 'wherein')"
"('releasably', 'fixed', 'base')"
"('formed', 'peripheral', 'wall')"
"('thereof', 'directed', 'inward')"
"('defined', 'claim', 'wherein')"
"('fix', 'base', 'end')"
"('provide', 'resistance', 'said')"
"('therebetween', 'faucet', 'support')"
"('bottom', 'surface', 'support')"
"('distance', 'therebetween', 'faucet')"
"('constructed', 'adjustable', 'portion')"
"('member', 'moved', 'loosening')"
"('portions', 'tightening', 'members')"
"('ends', 'thereof', 'directed')"
"('member', 'upper', 'surface')"
"('holes', 'nuts', 'screwed')"
"('pivotable', 'independently', 'faucet')"
"('formed', 'upper', 'portion')"
"('bolt', 'insertion', 'holes')"
"('independently', 'faucet', 'support')"
"('said', 'water', 'conducting')"
"('front', 'end', 'portions')"
"('ends', 'said', 'tightening')"
"('support', 'seat', 'faucet')"
"('inner', 'periphery', 'surface')"
"('portion', 'attached', 'depending')"
"('surface', 'configured', 'engage')"
"('releasably', 'fix', 'faucet')"
"('members', 'inserted', 'mounting')"
"('moved', 'toward', 'bottom')"
"('seat', 'detachable', 'manner')"
"('seat', 'bottom', 'surface')"
"('main', 'body', 'faucet')"
"('curved', 'surface', 'formed')"
"('claims', 'wherein', 'opening')"
"('faucet', 'faucet', 'support')"
"('formed', 'base', 'plate')"
"('upper', 'portion', 'said')"
"('member', 'attached', 'upper')"
"('prevent', 'said', 'fixing')"
"('tightening', 'members', 'rotated')"
"('predetermined', 'position', 'faucet')"
"('tightening', 'members', 'opened')"
"('members', 'screwed', 'onto')"
"('prevention', 'members', 'coupled')"
"('mounting', 'hole', 'attaching')"
"('periphery', 'surface', 'mounting')"
"('detachable', 'said', 'support')"
"('provided', 'inner', 'surfaces')"
"('mounted', 'outer', 'periphery')"
"('said', 'connectors', 'contact')"
"('surface', 'support', 'seat')"
"('coupled', 'plurality', 'connectors')"
"('tightening', 'members', 'pivotally')"
"('support', 'member', 'releasably')"
"('attached', 'plurality', 'connectors')"
"('member', 'plurality', 'tightening')"
"('inclined', 'toward', 'said')"
"('surface', 'front', 'end')"
"('directed', 'outward', 'plurality')"
"('side', 'surface', 'said')"
"('position', 'faucet', 'support')"
"('body', 'guide', 'body')"
"('constructed', 'main', 'body')"
"('defined', 'one', 'claims')"
"('member', 'comprising', 'support')"
"('pivotally', 'attached', 'plurality')"
"('covers', 'said', 'fixing')"
"('engage', 'base', 'plate')"
"('member', 'constructed', 'adjustable')"
"('surface', 'tightening', 'member')"
"('tightening', 'members', 'turned')"
"('wherein', 'curved', 'surface')"
"('support', 'seat', 'base')"
"('support', 'seat', 'said')"
"('ring', 'pivotally', 'mounted')"
"('cover', 'ring', 'covers')"
"('wherein', 'resistance', 'portion')"
"('said', 'plurality', 'tuning')"
"('tightening', 'members', 'provided')"
"('support', 'seat', 'front')"
"('wherein', 'said', 'connectors')"
"('spacer', 'penetrate', 'said')"
"('wherein', 'buffer', 'member')"
"('tightening', 'member', 'upper')"
"('prevention', 'member', 'engages')"
"('cover', 'ring', 'fixing')"
"('provided', 'said', 'support')"
"('screwed', 'onto', 'said')"
"('said', 'penetration', 'hole')"
"('therein', 'faucet', 'support')"
"('claim', 'wherein', 'two')"
"('surface', 'mounting', 'hole')"
"('tightening', 'members', 'said')"
"('support', 'seat', 'extend')"
"('operatively', 'engaging', 'plurality')"
"('tightened', 'faucet', 'support')"
"('opening', 'portion', 'said')"
"('fixed', 'predetermined', 'position')"
"('open', 'beyond', 'diameter')"
"('hole', 'said', 'support')"
"('surfaces', 'said', 'tightening')"
"('plurality', 'tightening', 'members')"
"('support', 'seat', 'onto')"
"('configured', 'extend', 'support')"
"('surface', 'said', 'mounting')"
"('depending', 'upon', 'size')"
"('member', 'configured', 'releasably')"
"('bolts', 'faucet', 'support')"
"('turned', 'tightened', 'faucet')"
"('fix', 'faucet', 'mounting')"
"('said', 'tightening', 'members')"
"('said', 'spacer', 'penetrate')"
"('seat', 'provided', 'support')"
"('members', 'said', 'resistance')"
"('support', 'seat', 'convex')"
"('one', 'claims', 'wherein')"
"('wherein', 'upper', 'surface')"
"('seat', 'onto', 'said')"
"('bolts', 'said', 'plurality')"
"('periphery', 'said', 'support')"
"('said', 'bolts', 'said')"
"('provided', 'said', 'tightening')"
"('thereof', 'faucet', 'support')"
"('connectors', 'contact', 'internal')"
"('guide', 'body', 'said')"
"('hole', 'attaching', 'said')"
"('surfaces', 'said', 'connectors')"
"('support', 'seat', 'upper')"
"('end', 'portion', 'faucet')"
"('wherein', 'adapter', 'member')"
"('base', 'plate', 'plurality')"
"('members', 'coupled', 'plurality')"
"('said', 'base', 'plate')"
"('inserting', 'said', 'turning')"
"('seat', 'extend', 'bottom')"
"('connectors', 'front', 'end')"
"('claim', 'wherein', 'insertion')"
"('seat', 'convex', 'portion')"
