"('bottom', 'end', 'front')"
"('connectors', 'faucet', 'support')"
"('members', 'faucet', 'support')"
"('said', 'resistance', 'portion')"
"('said', 'tightening', 'member')"
"('members', 'open', 'beyond')"
"('hole', 'fix', 'base')"
"('hole', 'formed', 'peripheral')"
"('members', 'therein', 'faucet')"
"('faucet', 'least', 'one')"
"('guide', 'member', 'constructed')"
"('claim', 'wherein', 'curved')"
"('members', 'moved', 'toward')"
"('wherein', 'two', 'tightening')"
"('seat', 'upper', 'surface')"
"('movable', 'along', 'plurality')"
"('said', 'faucet', 'onto')"
"('two', 'tightening', 'members')"
"('claim', 'wherein', 'said')"
"('claims', 'wherein', 'connectors')"
"('spray', 'faucet', 'support')"
"('support', 'seat', 'detachable')"
"('along', 'plurality', 'connectors')"
"('hole', 'front', 'end')"
"('said', 'opening', 'portion')"
"('said', 'guide', 'member')"
"('faucet', 'mounting', 'hole')"
"('base', 'plate', 'attached')"
"('tightening', 'members', 'directed')"
"('formed', 'holding', 'water')"
"('said', 'bolts', 'faucet')"
"('supporting', 'faucet', 'base')"
"('seat', 'said', 'cover')"
"('plate', 'wherein', 'said')"
"('wherein', 'said', 'support')"
"('buffer', 'member', 'attached')"
"('faucet', 'base', 'plate')"
"('base', 'plate', 'wherein')"
"('tightening', 'members', 'contact')"
"('inward', 'faucet', 'support')"
"('said', 'convex', 'portion')"
"('plate', 'plurality', 'connectors')"
"('set', 'connectors', 'maintaining')"
"('spacer', 'provided', 'said')"
"('plate', 'faucet', 'support')"
"('seat', 'front', 'ends')"
"('main', 'body', 'guide')"
"('seat', 'plurality', 'tightening')"
"('support', 'base', 'end')"
"('body', 'said', 'guide')"
"('guide', 'body', 'detachable')"
"('seat', 'wherein', 'said')"
"('conducting', 'pipe', 'inserted')"
"('plate', 'faucet', 'least')"
"('mounting', 'hole', 'said')"
"('said', 'fixing', 'member')"
"('support', 'seat', 'fixed')"
"('ring', 'fixing', 'member')"
"('support', 'seat', 'bottom')"
"('connectors', 'positioned', 'external')"
"('moved', 'loosening', 'direction')"
"('said', 'connectors', 'positioned')"
"('members', 'contact', 'front')"
"('tightening', 'members', 'faucet')"
"('hole', 'wherein', 'plurality')"
"('set', 'connectors', 'detachable')"
"('member', 'defined', 'claim')"
"('configured', 'releasably', 'fix')"
"('resistance', 'portion', 'formed')"
"('surface', 'formed', 'upper')"
"('resistance', 'portion', 'lies')"
"('distance', 'pivotable', 'independently')"
"('portions', 'plurality', 'tightening')"
"('penetration', 'hole', 'formed')"
"('members', 'provided', 'said')"
"('maintaining', 'distance', 'therebetween')"
"('support', 'member', 'fixed')"
"('thereof', 'prevent', 'said')"
"('contact', 'front', 'ends')"
"('members', 'provided', 'inner')"
"('portion', 'thereof', 'faucet')"
"('wherein', 'said', 'cover')"
"('manner', 'faucet', 'support')"
"('plurality', 'connectors', 'provided')"
"('member', 'constructed', 'main')"
"('direction', 'thereof', 'faucet')"
"('seat', 'faucet', 'support')"
"('comprising', 'cover', 'ring')"
"('members', 'turned', 'tightened')"
"('engaged', 'said', 'base')"
"('said', 'spacer', 'inserting')"
"('configured', 'movable', 'along')"
"('inner', 'surfaces', 'said')"
"('spacer', 'provided', 'set')"
"('plurality', 'connectors', 'positioned')"
"('directed', 'inward', 'plurality')"
"('contact', 'inner', 'periphery')"
"('prevention', 'members', 'contact')"
"('connectors', 'base', 'end')"
"('contact', 'internal', 'surface')"
"('support', 'member', 'defined')"
"('drilled', 'said', 'spacer')"
"('detachable', 'said', 'main')"
"('tightening', 'members', 'configured')"
"('member', 'fixed', 'base')"
"('base', 'end', 'portion')"
"('attached', 'upper', 'portion')"
"('constructed', 'plurality', 'tightening')"
"('provided', 'support', 'base')"
"('tightening', 'member', 'plurality')"
"('rotated', 'directed', 'outward')"
"('connectors', 'bolts', 'said')"
"('said', 'bolt', 'insertion')"
"('outward', 'tightening', 'members')"
"('end', 'portion', 'thereof')"
"('seat', 'fixed', 'predetermined')"
"('handy', 'spray', 'faucet')"
"('portion', 'faucet', 'support')"
"('least', 'one', 'base')"
"('side', 'surfaces', 'said')"
"('faucet', 'support', 'member')"
"('detachable', 'said', 'plurality')"
"('front', 'ends', 'said')"
"('said', 'faucet', 'faucet')"
"('members', 'opened', 'beyond')"
"('said', 'connectors', 'base')"
"('plurality', 'connectors', 'two')"
"('member', 'constructed', 'detachable')"
"('claim', 'wherein', 'adapter')"
"('seat', 'contact', 'inner')"
"('plurality', 'connectors', 'front')"
"('connectors', 'detachable', 'manner')"
"('configured', 'inserted', 'said')"
"('claim', 'wherein', 'plurality')"
"('wherein', 'plurality', 'tightening')"
"('wherein', 'said', 'plurality')"
"('wherein', 'said', 'spacer')"
"('seat', 'separated', 'distance')"
"('claim', 'wherein', 'buffer')"
"('support', 'seat', 'wherein')"
"('said', 'support', 'seat')"
"('mounting', 'hole', 'formed')"
"('separated', 'distance', 'spacer')"
"('fixing', 'member', 'peripheral')"
"('pipe', 'inserted', 'said')"
"('support', 'seat', 'separated')"
"('bolts', 'said', 'bolt')"
"('wherein', 'guide', 'member')"
"('surface', 'base', 'plate')"
"('guide', 'member', 'provided')"
"('hole', 'plurality', 'tightening')"
"('diameter', 'mounting', 'hole')"
"('connectors', 'positioned', 'said')"
"('external', 'side', 'surface')"
"('inserted', 'said', 'opening')"
"('tightening', 'members', 'moved')"
"('inward', 'plurality', 'tightening')"
"('seat', 'detachably', 'engaged')"
"('support', 'seat', 'provided')"
"('provided', 'set', 'connectors')"
"('seat', 'base', 'end')"
"('wherein', 'connectors', 'positioned')"
"('support', 'member', 'comprising')"
"('engage', 'bottom', 'surface')"
"('mounting', 'hole', 'thereby')"
"('convex', 'portion', 'faucet')"
"('insertion', 'bore', 'drilled')"
"('support', 'member', 'configured')"
"('portion', 'handy', 'spray')"
"('wall', 'said', 'cover')"
"('tuning', 'members', 'positioned')"
"('toward', 'bottom', 'surface')"
"('one', 'base', 'end')"
"('claims', 'wherein', 'said')"
"('two', 'bolts', 'faucet')"
"('portion', 'said', 'support')"
"('mounting', 'hole', 'plurality')"
"('insertion', 'holes', 'nuts')"
"('spacer', 'inserting', 'said')"
"('said', 'plurality', 'connectors')"
"('prevention', 'members', 'operatively')"
"('claims', 'comprising', 'cover')"
"('plate', 'provide', 'resistance')"
"('front', 'end', 'portion')"
"('wherein', 'insertion', 'bore')"
"('water', 'conducting', 'pipe')"
"('prevent', 'plurality', 'tightening')"
"('size', 'said', 'mounting')"
"('wherein', 'said', 'turning')"
"('end', 'portion', 'said')"
"('plurality', 'tuning', 'members')"
"('detachable', 'manner', 'faucet')"
"('inhibit', 'said', 'water')"
"('base', 'plate', 'faucet')"
"('onto', 'said', 'bolts')"
"('separated', 'distance', 'pivotable')"
"('members', 'pivotally', 'attached')"
"('inserted', 'said', 'support')"
"('members', 'operatively', 'engaging')"
"('bore', 'drilled', 'said')"
"('wherein', 'said', 'guide')"
"('members', 'directed', 'outward')"
"('peripheral', 'wall', 'thereof')"
"('hole', 'plurality', 'turning')"
"('onto', 'said', 'support')"
"('outer', 'periphery', 'said')"
"('internal', 'surface', 'said')"
"('members', 'directed', 'inward')"
"('members', 'rotated', 'directed')"
"('cover', 'ring', 'pivotally')"
"('hole', 'thereby', 'supporting')"
"('turning', 'prevention', 'members')"
"('fixing', 'member', 'configured')"
"('ring', 'covers', 'said')"
"('support', 'seat', 'grip')"
"('detachably', 'engaged', 'said')"
"('bolts', 'bolt', 'insertion')"
"('lies', 'said', 'tightening')"
"('pivotally', 'mounted', 'outer')"
"('cover', 'ring', 'penetration')"
"('member', 'releasably', 'fixed')"
"('member', 'lies', 'said')"
"('member', 'provided', 'said')"
"('base', 'plate', 'provide')"
"('plate', 'bottom', 'surface')"
"('base', 'plate', 'bottom')"
"('lies', 'said', 'support')"
"('said', 'guide', 'body')"
"('constructed', 'detachable', 'said')"
"('two', 'bolts', 'bolt')"
"('grip', 'base', 'plate')"
"('side', 'wall', 'inward')"
"('elastic', 'permeable', 'material')"
"('process', 'seat', 'comprising')"
"('wherein', 'belt', 'comprises')"
"('wall', 'inward', 'rim')"
"('side', 'wall', 'meets')"
"('removably', 'attached', 'side')"
"('forth', 'claim', 'wherein')"
"('wall', 'meets', 'upper')"
"('material', 'seat', 'set')"
"('side', 'wall', 'includes')"
"('wherein', 'bottom', 'side')"
"('rubber', 'synthetic', 'foam')"
"('material', 'least', 'one')"
"('polystyrene', 'balls', 'seat')"
"('seat', 'envelope', 'type')"
"('comprising', 'least', 'one')"
"('upper', 'walls', 'wherein')"
"('inward', 'rim', 'located')"
"('wall', 'impermeable', 'made')"
"('containing', 'incompressible', 'filling')"
"('wherein', 'incompressible', 'filling')"
"('incompressible', 'filling', 'pieces')"
"('rim', 'made', 'material')"
"('claim', 'wherein', 'side')"
"('comprising', 'upper', 'wall')"
"('envelope', 'containing', 'incompressible')"
"('least', 'portion', 'upper')"
"('type', 'comprising', 'upper')"
"('attached', 'side', 'wall')"
"('side', 'upper', 'walls')"
"('upper', 'wall', 'seat')"
"('joined', 'together', 'sewing')"
"('wherein', 'bottom', 'wall')"
"('together', 'sewing', 'process')"
"('form', 'envelope', 'containing')"
"('inextensible', 'material', 'seat')"
"('material', 'side', 'wall')"
"('bottom', 'side', 'upper')"
"('wall', 'sheet', 'inextensible')"
"('rigid', 'panel', 'seat')"
"('including', 'upper', 'wall')"
"('made', 'material', 'side')"
"('homogenous', 'material', 'seat')"
"('filling', 'pieces', 'occupying')"
"('claim', 'wherein', 'belt')"
"('one', 'belt', 'removably')"
"('selected', 'group', 'consisting')"
"('semirigid', 'material', 'least')"
"('claim', 'wherein', 'homogenous')"
"('rigid', 'semirigid', 'material')"
"('made', 'elastic', 'permeable')"
"('belt', 'comprises', 'ring')"
"('side', 'wall', 'seat')"
"('filling', 'pieces', 'comprise')"
"('pieces', 'seat', 'set')"
"('upper', 'wall', 'made')"
"('comprises', 'inflatable', 'ring')"
"('belt', 'comprises', 'inflatable')"
"('wall', 'seat', 'set')"
"('defined', 'bottom', 'side')"
"('seat', 'set', 'forth')"
"('consisting', 'rubber', 'synthetic')"
"('upper', 'walls', 'joined')"
"('joined', 'together', 'form')"
"('set', 'forth', 'claim')"
"('bottom', 'wall', 'side')"
"('one', 'envelope', 'including')"
"('group', 'consisting', 'rubber')"
"('ring', 'homogenous', 'material')"
"('material', 'selected', 'group')"
"('comprises', 'ring', 'homogenous')"
"('occupying', 'space', 'defined')"
"('wall', 'side', 'wall')"
"('least', 'one', 'belt')"
"('belt', 'comprises', 'rigid')"
"('envelope', 'including', 'upper')"
"('wall', 'made', 'elastic')"
"('comprises', 'rigid', 'panel')"
"('side', 'wall', 'impermeable')"
"('sheet', 'inextensible', 'material')"
"('located', 'side', 'wall')"
"('material', 'least', 'portion')"
"('rim', 'located', 'side')"
"('upper', 'wall', 'bottom')"
"('permeable', 'material', 'seat')"
"('side', 'wall', 'sheet')"
"('wherein', 'homogenous', 'material')"
"('wall', 'bottom', 'wall')"
"('panel', 'seat', 'set')"
"('seat', 'comprising', 'least')"
"('made', 'rigid', 'semirigid')"
"('meets', 'upper', 'wall')"
"('sewing', 'process', 'seat')"
"('bottom', 'wall', 'sheet')"
"('homogenous', 'material', 'selected')"
"('claim', 'wherein', 'bottom')"
"('belt', 'removably', 'attached')"
"('walls', 'joined', 'together')"
"('space', 'defined', 'bottom')"
"('balls', 'seat', 'set')"
"('foam', 'seat', 'set')"
"('envelope', 'type', 'comprising')"
"('walls', 'wherein', 'bottom')"
"('permeable', 'material', 'least')"
"('together', 'form', 'envelope')"
"('portion', 'upper', 'wall')"
"('comprise', 'polystyrene', 'balls')"
"('side', 'wall', 'incompressible')"
"('pieces', 'occupying', 'space')"
"('impermeable', 'made', 'rigid')"
"('wall', 'includes', 'inward')"
"('wall', 'incompressible', 'filling')"
"('least', 'one', 'envelope')"
"('inward', 'rim', 'made')"
"('includes', 'inward', 'rim')"
"('wherein', 'side', 'wall')"
"('pieces', 'comprise', 'polystyrene')"
"('claim', 'wherein', 'incompressible')"
"('filling', 'pieces', 'seat')"
"('synthetic', 'foam', 'seat')"
"('cross', 'sectional', 'area')"
"('area', 'tire', 'cross')"
"('portion', 'porous', 'sleep')"
"('least', 'measured', 'meter')"
"('air', 'flows', 'porous')"
"('air', 'holes', 'sufficient')"
"('plurality', 'holes', 'therein')"
"('covering', 'area', 'concentrator')"
"('concentrated', 'portion', 'air')"
"('sectional', 'area', 'ratio')"
"('accumulated', 'portion', 'air')"
"('rate', 'method', 'according')"
"('covering', 'portion', 'porous')"
"('area', 'concentrator', 'cross')"
"('wherein', 'ratio', 'ventilated')"
"('flow', 'effective', 'dissipate')"
"('surface', 'concentrating', 'accumulated')"
"('sectional', 'area', 'range')"
"('ratio', 'method', 'according')"
"('accumulator', 'covering', 'area')"
"('system', 'including', 'porous')"
"('measuring', 'airflow', 'rate')"
"('range', 'method', 'according')"
"('sleep', 'surface', 'air')"
"('produce', 'flow', 'rate')"
"('measured', 'meter', 'ventilated')"
"('surface', 'includes', 'plurality')"
"('method', 'measuring', 'airflow')"
"('area', 'whereby', 'air')"
"('wherein', 'ratio', 'method')"
"('sleep', 'surface', 'method')"
"('air', 'flow', 'said')"
"('concentrator', 'measuring', 'airflow')"
"('air', 'method', 'according')"
"('sleep', 'surface', 'system')"
"('method', 'comprising', 'covering')"
"('holes', 'therein', 'fan')"
"('including', 'porous', 'cover')"
"('said', 'porous', 'cover')"
"('area', 'wherein', 'ratio')"
"('airflow', 'rate', 'comprises')"
"('porous', 'sleep', 'surface')"
"('covering', 'area', 'tire')"
"('measured', 'airflow', 'rate')"
"('bedding', 'disposed', 'porous')"
"('measuring', 'airflow', 'porous')"
"('sleep', 'surface', 'ventilated')"
"('measured', 'meter', 'accumulator')"
"('wherein', 'measuring', 'airflow')"
"('plurality', 'holes', 'wherein')"
"('ventilated', 'sleep', 'surface')"
"('area', 'ratio', 'covering')"
"('cover', 'said', 'porous')"
"('air', 'flow', 'effective')"
"('tire', 'cross', 'sectional')"
"('area', 'cross', 'sectional')"
"('rate', 'measured', 'meter')"
"('wherein', 'accumulator', 'covering')"
"('dissipate', 'ventilated', 'sleep')"
"('portion', 'air', 'flows')"
"('surface', 'system', 'including')"
"('flow', 'rate', 'measured')"
"('late', 'measured', 'meter')"
"('airflow', 'rate', 'ventilated')"
"('wherein', 'flow', 'air')"
"('ratio', 'covering', 'area')"
"('porous', 'cover', 'said')"
"('sectional', 'area', 'wherein')"
"('sufficient', 'produce', 'flow')"
"('portion', 'air', 'method')"
"('porous', 'cover', 'including')"
"('meter', 'ventilated', 'sleep')"
"('surface', 'method', 'according')"
"('fan', 'producing', 'air')"
"('claim', 'wherein', 'porous')"
"('concentrating', 'accumulated', 'portion')"
"('claim', 'wherein', 'ratio')"
"('holes', 'wherein', 'flow')"
"('surface', 'system', 'according')"
"('claim', 'wherein', 'measured')"
"('rate', 'comprises', 'measuring')"
"('claim', 'wherein', 'accumulator')"
"('area', 'range', 'method')"
"('holes', 'therein', 'method')"
"('system', 'method', 'comprising')"
"('claim', 'wherein', 'flow')"
"('wherein', 'porous', 'sleep')"
"('surface', 'system', 'method')"
"('surface', 'air', 'accumulator')"
"('covering', 'area', 'cross')"
"('airflow', 'rate', 'concentrated')"
"('sleep', 'surface', 'concentrating')"
"('claim', 'wherein', 'measuring')"
"('airflow', 'rate', 'method')"
"('method', 'according', 'claim')"
"('portion', 'air', 'concentrator')"
"('accumulator', 'accumulates', 'portion')"
"('system', 'according', 'claim')"
"('airflow', 'porous', 'sleep')"
"('whereby', 'air', 'flow')"
"('said', 'plurality', 'holes')"
"('according', 'claim', 'wherein')"
"('surface', 'ventilated', 'sleep')"
"('rate', 'concentrated', 'portion')"
"('concentrator', 'cross', 'sectional')"
"('wherein', 'ratio', 'covering')"
"('comprising', 'covering', 'portion')"
"('accumulates', 'portion', 'air')"
"('ratio', 'ventilated', 'sleep')"
"('producing', 'air', 'flow')"
"('comprises', 'measuring', 'airflow')"
"('includes', 'plurality', 'holes')"
"('flows', 'porous', 'sleep')"
"('rate', 'bedding', 'disposed')"
"('air', 'concentrator', 'measuring')"
"('including', 'plurality', 'holes')"
"('airflow', 'rate', 'bedding')"
"('flow', 'said', 'plurality')"
"('wherein', 'measured', 'airflow')"
"('rate', 'least', 'measured')"
"('holes', 'sufficient', 'produce')"
"('disposed', 'porous', 'sleep')"
"('rate', 'ventilated', 'sleep')"
"('therein', 'fan', 'producing')"
"('flow', 'air', 'holes')"
"('meter', 'accumulator', 'covering')"
"('sectional', 'area', 'whereby')"
"('flow', 'rate', 'least')"
"('flow', 'late', 'measured')"
"('produce', 'flow', 'late')"
"('sleep', 'surface', 'includes')"
"('air', 'accumulator', 'accumulates')"
"('cover', 'including', 'plurality')"
"('therein', 'method', 'according')"
"('effective', 'dissipate', 'ventilated')"
"('edge', 'said', 'apparatus')"
"('chemical', 'comprises', 'NH4OH')"
"('least', 'one', 'chemical')"
"('comprising', 'jet', 'propelling')"
"('substrate', 'apparatus', 'defined')"
"('semiconductor', 'wafer', 'second')"
"('area', 'contact', 'semiconductor')"
"('roller', 'configured', 'rotate')"
"('speed', 'faster', 'rotational')"
"('semiconductor', 'wafer', 'first')"
"('cleaning', 'semiconductor', 'wafer')"
"('PVA', 'scrubber', 'defined')"
"('apparatus', 'cleaning', 'semiconductor')"
"('different', 'first', 'speed')"
"('pad', 'scrubber', 'defined')"
"('first', 'roller', 'generating')"
"('second', 'speed', 'faster')"
"('polyurethane', 'scrubbing', 'apparatus')"
"('semiconductor', 'substrate', 'second')"
"('rotate', 'direction', 'second')"
"('rotates', 'semiconductor', 'substrate')"
"('poly', 'vinyl', 'alcohol')"
"('bevel', 'area', 'due')"
"('edge', 'comprising', 'first')"
"('chemical', 'point', 'contact')"
"('comprises', 'pad', 'apparatus')"
"('roller', 'scrubber', 'defined')"
"('nylon', 'scrubber', 'defined')"
"('particles', 'bevel', 'area')"
"('bevel', 'area', 'semiconductor')"
"('mechanism', 'comprises', 'water')"
"('first', 'speed', 'scrubber')"
"('speed', 'approximately', 'times')"
"('includes', 'least', 'one')"
"('roller', 'rotates', 'semiconductor')"
"('approximately', 'times', 'rotational')"
"('comprises', 'abrasive', 'material')"
"('difference', 'tangential', 'velocity')"
"('wherein', 'rotational', 'speed')"
"('area', 'second', 'roller')"
"('second', 'roller', 'configured')"
"('roller', 'edge', 'semiconductor')"
"('least', 'one', 'bevel')"
"('second', 'roller', 'rotates')"
"('abrasive', 'material', 'apparatus')"
"('comprising', 'first', 'roller')"
"('first', 'speed', 'contacts')"
"('point', 'contact', 'side')"
"('first', 'roller', 'edge')"
"('second', 'roller', 'comprises')"
"('rotational', 'speed', 'second')"
"('claim', 'comprising', 'jet')"
"('scrubber', 'defined', 'claim')"
"('material', 'comprises', 'nylon')"
"('alcohol', 'PVA', 'scrubber')"
"('contact', 'side', 'scrubbing')"
"('rotational', 'speed', 'first')"
"('wafer', 'cleaned', 'due')"
"('comprises', 'polyurethane', 'apparatus')"
"('material', 'comprises', 'pad')"
"('due', 'friction', 'difference')"
"('claim', 'wherein', 'edge')"
"('wherein', 'first', 'roller')"
"('edge', 'cleaning', 'semiconductor')"
"('first', 'speed', 'second')"
"('wherein', 'said', 'least')"
"('comprises', 'polyurethane', 'scrubber')"
"('first', 'roller', 'approximately')"
"('cleaning', 'semiconductor', 'substrate')"
"('claim', 'wherein', 'rotational')"
"('speed', 'facilitate', 'edge')"
"('speed', 'contacts', 'edge')"
"('area', 'semiconductor', 'wafer')"
"('rotating', 'semiconductor', 'wafer')"
"('edge', 'cleaned', 'due')"
"('second', 'speed', 'approximately')"
"('comprises', 'apparatus', 'defined')"
"('wafer', 'second', 'roller')"
"('apparatus', 'defined', 'claim')"
"('propelling', 'water', 'area')"
"('due', 'friction', 'edge')"
"('tangential', 'velocity', 'apparatus')"
"('PVA', 'apparatus', 'defined')"
"('material', 'comprises', 'poly')"
"('semiconductor', 'substrate', 'includes')"
"('second', 'speed', 'facilitate')"
"('semiconductor', 'substrate', 'apparatus')"
"('wherein', 'mechanism', 'edge')"
"('velocity', 'point', 'contact')"
"('scrubbing', 'edge', 'cleaning')"
"('second', 'speed', 'different')"
"('friction', 'edge', 'abrasive')"
"('rotate', 'direction', 'first')"
"('rotational', 'speed', 'faster')"
"('faster', 'first', 'speed')"
"('first', 'roller', 'configured')"
"('speed', 'faster', 'first')"
"('wherein', 'edge', 'semiconductor')"
"('approximately', 'times', 'first')"
"('wherein', 'cleaning', 'mechanism')"
"('substrate', 'includes', 'least')"
"('defined', 'claim', 'comprising')"
"('scrubber', 'scrubbing', 'semiconductor')"
"('area', 'due', 'difference')"
"('cleans', 'said', 'least')"
"('scrubbing', 'semiconductor', 'wafer')"
"('roller', 'cleaning', 'edge')"
"('speed', 'second', 'roller')"
"('cleaned', 'due', 'friction')"
"('semiconductor', 'substrate', 'edge')"
"('claim', 'wherein', 'rollers')"
"('substrate', 'second', 'roller')"
"('comprises', 'nylon', 'scrubber')"
"('times', 'first', 'speed')"
"('edge', 'cleans', 'particles')"
"('polyurethane', 'apparatus', 'defined')"
"('nylon', 'apparatus', 'defined')"
"('comprises', 'poly', 'vinyl')"
"('speed', 'scrubber', 'defined')"
"('bevel', 'area', 'second')"
"('direction', 'second', 'speed')"
"('semiconductor', 'wafer', 'scrubber')"
"('first', 'roller', 'clearing')"
"('wherein', 'semiconductor', 'substrate')"
"('direction', 'first', 'roller')"
"('abrasive', 'material', 'first')"
"('mechanism', 'edge', 'cleans')"
"('one', 'chemical', 'point')"
"('contact', 'semiconductor', 'wafer')"
"('point', 'contact', 'semiconductor')"
"('water', 'area', 'contact')"
"('chemical', 'comprises', 'apparatus')"
"('cleaning', 'mechanism', 'comprises')"
"('abrasive', 'material', 'comprises')"
"('direction', 'first', 'speed')"
"('said', 'apparatus', 'comprising')"
"('due', 'difference', 'tangential')"
"('one', 'bevel', 'area')"
"('comprises', 'polyurethane', 'scrubbing')"
"('pad', 'apparatus', 'defined')"
"('abrasive', 'material', 'scrubber')"
"('substrate', 'edge', 'said')"
"('polyurethane', 'scrubber', 'scrubbing')"
"('material', 'comprises', 'polyurethane')"
"('alcohol', 'PVA', 'apparatus')"
"('edge', 'semiconductor', 'substrate')"
"('first', 'roller', 'scrubber')"
"('wafer', 'scrubber', 'defined')"
"('claim', 'comprising', 'water')"
"('roller', 'second', 'speed')"
"('roller', 'comprises', 'abrasive')"
"('water', 'jet', 'propelling')"
"('configured', 'rotate', 'direction')"
"('cleaned', 'due', 'difference')"
"('comprises', 'pad', 'scrubber')"
"('speed', 'different', 'first')"
"('apparatus', 'comprising', 'first')"
"('claim', 'wherein', 'said')"
"('propelling', 'least', 'one')"
"('semiconductor', 'wafer', 'edge')"
"('scrubbing', 'semiconductor', 'substrate')"
"('second', 'roller', 'cleans')"
"('cleans', 'particles', 'bevel')"
"('claim', 'wherein', 'semiconductor')"
"('roller', 'approximately', 'times')"
"('semiconductor', 'wafer', 'cleaned')"
"('roller', 'cleans', 'said')"
"('rotates', 'direction', 'first')"
"('generating', 'friction', 'edge')"
"('wafer', 'first', 'roller')"
"('said', 'least', 'one')"
"('first', 'roller', 'cleaning')"
"('comprises', 'water', 'jet')"
"('comprises', 'nylon', 'apparatus')"
"('roller', 'clearing', 'edge')"
"('first', 'roller', 'second')"
"('faster', 'rotational', 'speed')"
"('scrubbing', 'apparatus', 'cleaning')"
"('contacts', 'edge', 'semiconductor')"
"('facilitate', 'edge', 'cleaning')"
"('times', 'rotational', 'speed')"
"('rollers', 'comprise', 'abrasive')"
"('velocity', 'apparatus', 'defined')"
"('cleaning', 'edge', 'semiconductor')"
"('tangential', 'velocity', 'point')"
"('first', 'roller', 'rotational')"
"('wherein', 'second', 'roller')"
"('material', 'apparatus', 'defined')"
"('material', 'first', 'roller')"
"('material', 'scrubber', 'defined')"
"('second', 'roller', 'rotating')"
"('substrate', 'edge', 'cleaned')"
"('claim', 'wherein', 'mechanism')"
"('jet', 'propelling', 'water')"
"('wafer', 'edge', 'comprising')"
"('roller', 'rotates', 'direction')"
"('wherein', 'rollers', 'comprise')"
"('side', 'scrubbing', 'edge')"
"('comprise', 'abrasive', 'material')"
"('side', 'scrubbing', 'semiconductor')"
"('edge', 'abrasive', 'material')"
"('edge', 'semiconductor', 'wafer')"
"('speed', 'first', 'roller')"
"('propelling', 'water', 'point')"
"('contact', 'semiconductor', 'substrate')"
"('roller', 'rotating', 'semiconductor')"
"('first', 'roller', 'rotates')"
"('comprising', 'water', 'jet')"
"('defined', 'claim', 'wherein')"
"('claim', 'wherein', 'cleaning')"
"('friction', 'difference', 'tangential')"
"('semiconductor', 'substrate', 'first')"
"('one', 'chemical', 'comprises')"
"('first', 'roller', 'comprises')"
"('claim', 'wherein', 'abrasive')"
"('claim', 'wherein', 'first')"
"('second', 'roller', 'apparatus')"
"('wherein', 'second', 'speed')"
"('roller', 'generating', 'friction')"
"('clearing', 'edge', 'semiconductor')"
"('substrate', 'first', 'speed')"
"('jet', 'propelling', 'least')"
"('roller', 'rotational', 'speed')"
"('claim', 'wherein', 'second')"
"('wherein', 'abrasive', 'material')"
"('roller', 'apparatus', 'defined')"
"('water', 'point', 'contact')"
"('vinyl', 'alcohol', 'PVA')"
